c;RTV283;iPhone 13 Pro;9;215280000;01/01/2021 15:07:55;STOCKING
c;RTV283;iPhone 13 Pro;5;119600000;14/01/2022 15:07:01;STOCKING
c;RTV283;iPhone 13 Pro;5;119600000;14/01/2022 14:57:51;STOCKING
c;RTV283;iPhone 13 Pro;5;119600000;14/01/2022 14:52:59;STOCKING
c;YGW512;222222;1;17777777;14/01/2022 14:21:28;COMING_SOON
c;YGW512;222222;5;88888888;14/01/2022 14:19:59;COMING_SOON
c;YGW512;222222;5;88888888;14/01/2022 14:15:45;COMING_SOON
c;YGW512;222222;1;17777777;14/01/2022 14:01:36;COMING_SOON
c;YGW512;222222;1;17777777;14/01/2022 13:58:51;COMING_SOON
c;YGW512;222222;1;17777777;14/01/2022 13:56:19;COMING_SOON
9;YGW512;MacBook Air M1 2020;1;29992000;31/12/2021 19:55:59;STOCKING
c;QTP437;Iphone 13 Pro Max;1;31292600;31/12/2021 01:40:07;STOCKING
c;QTP437;Iphone 13 Pro Max;1;31958400;31/12/2021 01:32:59;STOCKING
c;p;iPhone 13 Pro;2;2392000;30/12/2021 23:47:00;STOCKING
c;RZW912;Iphone 12 Pro Max;5;157450000;29/12/2021 22:44:59;STOCKING
